Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,88898.84375,94165.1953125,47372.84375,651914.0625,,90306.95637539598,96559.22570180085,48059.40670289855,668649.3125,,88335.5986998416,94165.1953125,47201.20301177536,647349.9375,,90119.20802534319,96559.22570180085,47630.30485733695,658760.3125,,2342070,556532,12993228,71172,
2020-01-03,88711.0859375,92569.171875,47630.29296875,642025.0625,,91902.80754794973,94963.20218211207,48574.31679335586,664085.1875,,88523.33760747354,91771.16177262932,47115.37088260135,636700.25,,90588.56923776456,94564.19713092672,48059.39470720721,656478.25,,3021380,1145187,15422255,81379,
2020-01-06,88523.34375,92569.171875,47630.29296875,626811.1875,,89462.08546527041,93367.1819773707,47716.11331644144,633657.4375,,87115.23117709438,92170.16682381467,46857.90983952703,625289.8125,,87302.97952014847,92569.171875,47115.37088260135,630614.6875,,2577573,334574,10278951,65715,
2020-01-07,88241.703125,92170.15625,47887.76953125,637460.9375,,89555.94125664893,93367.17126623377,48402.69178427419,638221.625,,88241.703125,92170.15625,47716.12878024193,625289.8125,,88711.07388630319,92968.1662608225,47801.94915574596,632136.0625,,2489429,674196,10009778,56300,
2020-01-08,91433.4296875,89377.125,48745.97265625,621486.375,,93404.78700109087,92170.16015625,49260.89490261884,631375.375,,89368.1982161191,88978.11997767858,47973.58928669675,610075.9375,,90494.68810959959,91771.15513392858,48231.050409881165,627571.875,,7014748,1044825,23501171,99886,
2020-01-09,92935.4140625,88978.125,50290.73828125,638982.3125,,92935.4140625,91372.15526905829,50290.73828125,641264.375,,91433.42757260101,87781.10986547085,49260.893811326794,632896.75,,92841.53990688131,90175.14013452915,50119.0975362628,634418.125,,3586413,1375510,24102579,56643,
2020-01-10,92841.5546875,90574.1328125,51063.12109375,664085.1875,,93592.5480520096,91372.14279322687,51234.76183692227,667888.625,,91902.812981863,89377.1178414097,50033.27663471639,635939.5,,93029.3030286274,89776.12283177313,50462.37849264706,642025.0625,,2867925,896507,16000170,121058,
2020-01-13,94343.5234375,91771.1640625,51492.22265625,670170.75,,94812.89420087065,92170.1691236413,51492.22265625,674734.875,,91996.66962064676,90175.14381793479,50719.83931640625,661803.125,,92935.41114738806,90574.14887907609,51148.941171875005,667888.625,,2242008,692917,11359139,81571,
2020-01-14,94343.5234375,92569.171875,51492.22265625,661803.125,,97159.74801772388,93367.1819773707,52350.4263671875,672452.8125,,93780.27852145523,92170.16682381467,51406.402285156255,658760.3125,,95282.26496424129,92170.16682381467,51835.504140625,670170.75,,2913343,739959,16906295,69316,
2020-01-15,92184.421875,91771.1640625,50634.015625,661042.375,,93780.28253882383,92569.1741847826,51148.937817796614,664085.1875,,91996.67356160896,90973.1539402174,50548.1952595339,654196.1875,,93780.28253882383,92569.1741847826,51063.11745233051,659521.0,,2745625,564142,14300928,40325,
2020-01-16,93123.1640625,94564.1953125,52092.96484375,664085.1875,,93310.91237714214,95761.21044303798,52092.96484375,667888.625,,91433.42923072077,92968.17513844937,50634.018546643325,654956.875,,91433.42923072077,93367.18018196203,50719.83891706137,661803.125,,2824804,1638719,14381774,45634,
2020-01-17,92935.4140625,94564.1953125,52607.8828125,664845.875,,95282.26795296717,95761.21044303798,53208.62535685155,667888.625,,92747.66575126263,94165.19026898735,52350.42172206363,657238.9375,,94343.5263967803,94564.1953125,53122.80499337276,664085.1875,,2246394,574301,16025661,44270,
2020-01-20,93780.296875,94165.1953125,53551.91015625,666367.25,,94812.91275650651,95362.21050715043,53895.19163161058,673213.5,,93498.67436186186,93766.19024761653,52951.16757436899,665606.5625,,93874.17104604605,95362.21050715043,53208.62868088942,667888.625,,1781639,445922,12528855,43489,
2020-01-21,93217.03125,93367.1953125,52693.71484375,666367.25,,94343.52105362537,94564.21063701923,53551.918668566774,676256.25,,92935.40879909365,92968.19020432692,52522.074078786645,664845.875,,94343.52105362537,94165.20552884616,53208.637138640064,668649.3125,,1483291,545156,11142693,46215,
2020-01-22,94812.90625,101347.2734375,53466.09375,687666.6875,,94812.90625,101347.2734375,53723.55487560193,690709.4375,,92935.42295792079,93766.17818036418,51835.5066211878,664085.1875,,92935.42295792079,93766.17818036418,51921.32699638844,664845.875,,2257478,2773421,15339565,118082,
2020-01-23,92653.8203125,104140.3203125,52178.7890625,734829.625,,94812.92656091692,104938.33042983717,53036.99282997532,750043.5,,92184.44938893111,102145.29501915709,52092.968685752465,697555.6875,,94812.92656091692,103741.31525383142,53036.99282997532,714290.9375,,2780104,2492785,14916555,288243,
2020-01-28,90400.8046875,104539.3125,50462.38671875,751564.875,,90964.0495765187,105736.32752862596,50977.309032206635,759171.8125,,89180.44076129283,101347.27242366412,50033.284790869475,724179.9375,,89649.81150214175,101347.27242366412,50977.309032206635,725701.3125,,3630362,1841752,23664541,210377,
2020-01-29,91902.7890625,104539.3125,50719.84375,747000.75,,92935.40466994382,106135.33253816795,51234.7660215736,753847.0,,90776.29930892492,102943.29246183207,50462.382614213195,737872.4375,,90964.04760118744,105337.32251908397,50719.84375,753847.0,,2741459,1318578,16446102,106148,
2020-01-30,88241.703125,101746.2734375,49089.24609375,753086.25,,91808.92091090426,104140.3034007353,50462.37185861014,760693.1875,,88053.95482047873,100948.2634497549,48745.96465253496,737872.4375,,91808.92091090426,103741.29840686274,50462.37185861014,746240.0625,,3223436,1034661,20821939,106201,
2020-01-31,87772.34375,99751.265625,48402.6953125,737111.75,,91527.31032754011,103342.3111875,50119.102947695035,759932.5,,87772.34375,99352.2605625,48402.6953125,737111.75,,88711.08539438502,102544.3010625,49604.18065713652,753086.25,,4597139,1035126,19749457,86891,
2020-02-03,88898.84375,98554.2421875,49089.24609375,729504.8125,,89743.71132523759,99751.25727479756,49260.88681435752,736351.0,,85894.87014915522,96559.21704200405,47372.83888767482,707444.6875,,86176.49267423443,98155.2371584008,47630.2999685861,725701.3125,,3725535,1270442,23995260,127024,
2020-02-04,91151.8125,98953.2578125,50548.203125,749282.8125,,91527.30915293512,100549.27809979838,50634.02350382003,750043.5,,88711.08425592173,97756.24259702621,48745.97516977929,734068.9375,,88992.70674562307,98554.25274067541,49003.43630623939,734829.625,,3169743,1203992,21800192,74584,
2020-02-05,91715.0625,98953.2578125,51063.12109375,745479.375,,93217.04919396111,100549.27809979838,51663.863694852946,759932.5,,90964.06915301945,98554.25274067541,50548.19886423319,743957.9375,,93217.04919396111,99751.2679561492,51492.22295168068,753847.0,,2911995,1032267,19278165,62535,
2020-02-06,94343.5234375,105337.328125,52436.25390625,789599.5625,,94812.89420087065,106135.33818655304,52436.25390625,795685.125,,92278.29207866915,100150.2627249053,51234.76854669599,751564.875,,92841.53699471393,100150.2627249053,51578.05007799713,756889.75,,2861441,1659774,14727159,196040,
2020-02-07,93217.03125,104539.3125,51835.51171875,789599.5625,,94343.52105362537,104539.3125,52522.074787872516,797206.5,,92372.16389728096,101746.27743320611,51234.769033267796,775907.0625,,93874.1503021148,104140.30749045803,52436.254404232204,792642.3125,,1827393,999598,16402493,82662,
2020-02-10,92747.6875,103741.3125,51234.76953125,806334.8125,,93123.18421052632,105337.33269230768,51320.58991572446,812420.375,,91433.4490131579,102943.30240384614,50719.84722440327,777428.4375,,91996.69407894737,103342.30745192307,50805.667608877724,789599.5625,,1825648,669628,13107121,100576,
2020-02-11,93686.3984375,105736.328125,51406.4140625,803292.0625,,94343.51746461674,107731.35318396227,52092.97718854341,824591.4375,,92935.40526365231,104140.3080778302,51234.77328098915,797206.5,,93780.27258423096,104539.31308962265,51320.59367174457,815463.125,,1820578,949247,11071231,112310,
2020-02-12,93874.1484375,108529.3828125,51921.33203125,806334.8125,,94812.889921875,109726.39806410846,52092.97279829546,818505.875,,93029.2811015625,105736.3472254136,51234.768963068185,798727.875,,94343.5191796875,105736.3472254136,51749.69126420454,803292.0625,,2616573,1373302,12904207,86419,
2020-02-13,95751.6328125,106135.3515625,52092.96484375,806334.8125,,97159.74505974264,109726.39729205827,52865.34817751236,816984.5,,94343.52056525735,106135.3515625,51921.32410291392,801770.625,,94812.89131433824,109327.39221099624,52522.0666958402,816984.5,,3519491,1035208,18449775,73525,
2020-02-14,98098.5,106534.3359375,53036.98828125,804813.4375,,98567.87081339712,107731.35094803371,53122.80865063713,810898.9375,,94812.9043062201,104938.31592345505,51663.862371055824,803292.0625,,95282.27511961722,105736.32593047753,52264.604956765776,806334.8125,,1893163,591584,13276067,50866,
2020-02-17,98567.859375,108130.359375,52779.5234375,789599.5625,,99506.60089285714,108529.36439114391,53208.62525406504,804813.4375,,97159.74709821428,105736.32927813653,52522.062347560975,786556.8125,,98098.48861607144,106534.33931042434,52865.34380081301,804813.4375,,1190162,555451,8740596,95932,
2020-02-18,95751.6328125,105736.328125,51320.578125,780471.25,,98098.48655790441,107332.34817216982,52264.602137332775,788078.1875,,95282.26206341911,104539.31308962265,51234.75776024247,775907.0625,,97629.11580882352,106933.34316037736,52178.78177257525,781992.625,,2789667,744150,16674266,79844,
2020-02-19,97159.765625,104938.3359375,51663.8671875,768300.125,,97159.765625,106933.36133555132,51835.50794227575,786556.8125,,94812.91138285024,104140.32577827947,50977.304168397015,760693.1875,,96221.0239281401,106135.35117633079,51320.58567794851,780471.25,,2315634,776121,12951496,115417,
2020-02-20,97629.1328125,103741.3125,51492.22265625,758411.125,,99506.6161358173,106135.34278846154,52607.88748046875,781992.625,,96221.02032001202,102943.30240384614,51148.941171875005,753086.25,,98098.50364332933,105736.33774038461,52092.96525390625,771342.9375,,3093782,711858,14591924,171757,
2020-02-21,96690.3828125,102145.2734375,50805.65625,740154.5,,97159.75360285194,103342.2883605957,51320.57844172297,751564.875,,94812.89965109223,101347.26348876953,50204.91369298986,734829.625,,95282.27044144417,102145.2734375,50462.374788851346,750043.5,,4064719,686417,13777393,140720,
2020-02-24,93404.78125,97756.234375,48745.97265625,701359.125,,94343.5227701005,99751.25956632654,49861.63752338249,726462.0,,92841.5363379397,97357.2293367347,48745.97265625,701359.125,,94343.5227701005,99352.25452806122,49260.89490261884,715051.625,,5550758,911932,25627537,183316,
2020-02-25,91996.6640625,97756.234375,49689.99609375,728744.125,,93029.27967952806,99352.25452806122,49775.816466968914,729504.8125,,90494.67771045919,97357.2293367347,48231.0497490285,696795.0,,91808.9157684949,97756.234375,48231.0497490285,698316.375,,6594059,796176,23885408,162055,
2020-02-26,88804.953125,97756.234375,48488.515625,730265.5,,90213.06548956131,98953.24948979593,48917.61753318584,737111.75,,88617.20480972515,95761.20918367348,48059.41371681416,710487.4375,,89649.82054373679,96559.21926020409,48059.41371681416,712008.875,,6405409,1001834,25483102,103020,
2020-02-27,87115.2109375,96559.21875,47973.59375,730265.5,,89462.06468042835,98554.24393078513,48831.797573792486,736351.0,,86551.9660391972,95761.20867768595,47630.31222048301,716573.0,,88898.81978212555,97756.23385847108,48316.87527951699,728744.125,,4644449,779402,23209541,109128,
2020-02-28,82515.3828125,91771.1640625,46514.6484375,705162.625,,86551.97150526167,94963.20455163044,47630.31343692343,722658.5625,,82327.63450120877,90973.1539402174,46514.6484375,692991.5,,85425.48163751423,94564.19949048913,47201.211514068265,719615.75,,8171939,1777353,30054227,152399,
2020-03-02,86458.109375,90574.1328125,47201.19921875,710487.4375,,87396.85106202497,92569.15776431718,47630.30102982955,718855.0625,,82890.8909643051,90175.12782213656,45999.714147727274,696034.3125,,84486.75183224755,92569.15776431718,46600.45668323864,704401.9375,,6382279,1183337,30403412,98098,
2020-03-03,87115.2109375,89776.1328125,47544.48828125,729504.8125,,89274.31638099407,92968.17309027778,48831.79392063402,763736.0,,86739.71433863147,89377.12777777777,47287.027153373194,724940.625,,89180.44223127695,92569.16805555555,48660.153168716155,729504.8125,,5573006,1414986,30330295,153758,
2020-03-04,88523.34375,90175.1328125,49260.90234375,743957.9375,,89180.4629506893,90973.14283738939,49432.5431184669,747000.75,,85707.11860418876,89377.12278761063,46857.93149771341,728744.125,,85707.11860418876,89377.12278761063,47029.57227243031,729504.8125,,4984561,1319901,24765728,92073,
2020-03-05,89086.5703125,90973.15625,49604.16796875,755368.375,,90025.31183317966,92569.17653508771,49775.80868836505,759171.8125,,88053.95463975237,90175.14610745614,48660.14401086721,745479.375,,89368.1927687039,92170.17146381579,49432.527249134946,758411.125,,4028776,1135241,21698990,85709,
